iter	Passed	Remaining
0	9	9187
1	16	8182
2	25	8404
3	32	7974
4	39	7838
5	57	9531
6	72	10279
7	87	10878
8	98	10892
9	112	11179
10	120	10835
11	128	10593
12	143	10894
13	150	10604
14	158	10385
15	165	10154
16	174	10069
17	180	9852
18	188	9733
19	194	9554
20	201	9398
21	207	9240
22	213	9072
23	221	8987
24	228	8906
25	235	8823
26	240	8676
27	245	8537
28	251	8420
29	257	8320
30	262	8206
31	268	8130
32	274	8049
33	280	7958
34	285	7875
35	291	7812
36	297	7745
37	303	7683
38	309	7621
39	316	7597
40	322	7548
41	328	7488
42	333	7423
43	338	7365
44	344	7307
45	350	7271
46	356	7227
47	361	7177
48	368	7151
49	374	7115
50	380	7073
51	385	7027
52	390	6978
53	396	6939
54	401	6906
55	408	6877
56	414	6849
57	419	6810
58	426	6801
59	432	6771
60	437	6735
61	442	6701
62	448	6676
63	454	6645
64	461	6631
65	467	6610
66	472	6577
67	478	6555
68	483	6529
69	489	6505
70	496	6493
71	502	6473
72	507	6446
73	514	6439
74	520	6414
75	525	6391
76	531	6367
77	537	6349
78	543	6335
79	549	6324
80	556	6309
81	562	6299
82	568	6276
83	574	6260
84	580	6247
85	587	6240
86	593	6224
87	599	6210
88	605	6197
89	612	6192
90	617	6169
91	623	6153
92	629	6140
93	634	6120
94	642	6119
95	647	6100
96	653	6087
97	660	6076
98	665	6055
99	670	6030
100	676	6020
101	682	6010
102	688	5997
103	694	5983
104	700	5970
105	707	5966
106	716	5979
107	724	5982
108	729	5965
109	736	5962
110	742	5948
111	748	5933
112	754	5923
113	760	5907
114	766	5898
115	774	5899
116	779	5884
117	785	5873
118	791	5862
119	797	5847
120	803	5834
121	808	5818
122	814	5803
123	820	5798
124	826	5783
125	831	5769
126	838	5761
127	844	5749
128	850	5742
129	856	5730
130	861	5716
131	868	5713
132	874	5699
133	880	5687
134	884	5664
135	890	5655
136	896	5646
137	901	5633
138	908	5625
139	915	5622
140	920	5609
141	926	5599
142	933	5592
143	938	5580
144	945	5577
145	951	5568
146	957	5555
147	964	5553
148	970	5544
149	976	5535
150	982	5524
151	988	5516
152	994	5506
153	1000	5496
154	1005	5482
155	1011	5472
156	1017	5462
157	1022	5450
158	1030	5449
159	1035	5437
160	1041	5427
161	1048	5421
162	1057	5428
163	1069	5449
164	1076	5449
165	1082	5439
166	1089	5435
167	1096	5430
168	1101	5417
169	1108	5413
170	1114	5402
171	1120	5393
172	1126	5386
