iter	MultiClass
0	1.063602003
1	1.03346345
2	1.008698669
3	0.9884000217
4	0.9705300753
5	0.9557771549
6	0.941010126
7	0.9279714275
8	0.9174714972
9	0.9081147867
10	0.8992235901
11	0.8894515904
12	0.8809566358
13	0.8737528619
14	0.8676140635
15	0.8613273213
16	0.8561226712
17	0.8500014218
18	0.8451585835
19	0.8401616779
20	0.8369423068
21	0.8329497295
22	0.8297832208
23	0.8270750199
24	0.8243176904
25	0.8215968963
26	0.8188960838
27	0.8169844039
28	0.8145579203
29	0.8113572171
30	0.8095875407
31	0.8067307979
32	0.8043762747
33	0.8019347016
34	0.8005421396
35	0.7983422711
36	0.7964786952
37	0.7952439757
38	0.7931828387
39	0.7910640111
40	0.7895642879
41	0.787717083
42	0.7861736386
43	0.7842810714
44	0.7830784767
45	0.781903447
46	0.7804948927
47	0.779154503
48	0.778026607
49	0.7768782035
50	0.7753331936
51	0.7741163019
52	0.7726705736
53	0.7706701129
54	0.7697502476
55	0.7683013954
56	0.7669610394
57	0.7663836239
58	0.7652548407
59	0.7639949042
60	0.7632606611
61	0.7617615793
62	0.7604546647
63	0.7597380961
64	0.7588217066
65	0.757225301
66	0.756515659
67	0.7557246618
68	0.7542103024
69	0.7531471852
70	0.7523596323
71	0.751012356
72	0.7501503973
73	0.7493503261
74	0.7479876805
75	0.7466588104
76	0.7453402451
77	0.7441725534
78	0.7426582293
79	0.7418405371
80	0.7407040481
81	0.7400346643
82	0.7391823927
83	0.7384468747
84	0.737797993
85	0.7367601453
86	0.7358616062
87	0.7351619769
88	0.7339363805
89	0.7324458198
90	0.7314691231
91	0.7305573302
92	0.7300609571
93	0.728970093
94	0.7280715995
95	0.7273766069
96	0.7261302857
97	0.7240998962
98	0.7236237822
99	0.7226321779
100	0.7222148039
101	0.7211409863
102	0.720462227
103	0.7196100724
104	0.7186477664
105	0.7173635025
106	0.7163370243
107	0.7157396648
108	0.7150949256
109	0.7144997069
110	0.7128947708
111	0.7120723447
112	0.7105726785
113	0.7101598406
114	0.7097210854
115	0.7090808429
116	0.707416509
117	0.7062602444
118	0.7056580292
119	0.7049565993
