iter	Passed	Remaining
0	8	8596
1	15	7575
2	20	6857
3	27	6933
4	33	6704
5	39	6554
6	46	6567
7	52	6449
8	58	6455
9	64	6427
10	70	6361
11	78	6431
12	84	6391
13	91	6419
14	98	6460
15	105	6516
16	113	6549
17	120	6569
18	128	6629
19	134	6604
20	143	6679
21	149	6661
22	157	6694
23	163	6655
24	170	6636
25	176	6629
26	182	6591
27	190	6610
28	196	6574
29	202	6553
30	209	6538
31	214	6503
32	222	6507
33	229	6511
34	235	6486
35	242	6493
36	248	6459
37	254	6450
38	260	6422
39	266	6403
40	273	6402
41	279	6380
42	286	6372
43	292	6359
44	298	6324
45	305	6345
46	311	6325
47	319	6338
48	326	6330
49	333	6330
50	340	6329
51	346	6307
52	353	6312
53	359	6296
54	365	6284
55	372	6285
56	379	6279
57	387	6291
58	393	6275
59	402	6304
60	408	6286
61	415	6284
62	422	6278
63	427	6258
64	435	6257
65	441	6241
66	447	6226
67	453	6221
68	459	6200
69	466	6201
70	472	6186
71	478	6172
72	486	6174
73	492	6156
74	498	6150
75	505	6150
76	512	6140
77	519	6137
78	525	6123
79	531	6114
80	537	6102
81	543	6082
82	550	6086
83	556	6071
84	563	6062
85	570	6059
86	575	6042
87	583	6045
88	589	6036
89	597	6038
90	603	6025
91	609	6014
92	616	6011
93	622	5996
94	629	5992
95	636	5989
96	642	5985
97	650	5985
98	656	5972
99	664	5976
100	670	5963
101	676	5959
102	683	5953
103	689	5938
104	696	5938
105	702	5926
106	709	5922
107	716	5916
108	721	5900
109	728	5895
110	734	5883
111	740	5869
112	747	5863
113	752	5849
114	759	5844
115	765	5833
116	771	5818
117	777	5814
118	783	5797
119	788	5782
120	795	5780
121	801	5768
122	808	5764
123	815	5758
124	820	5745
125	828	5745
126	834	5737
127	841	5730
128	847	5722
129	852	5706
130	860	5705
131	865	5694
132	872	5690
133	879	5682
134	885	5670
135	891	5664
136	897	5653
137	903	5641
138	909	5636
139	915	5623
140	922	5617
141	928	5608
142	933	5593
143	940	5589
144	946	5578
145	951	5568
146	959	5564
147	964	5550
148	971	5546
149	977	5539
150	983	5528
151	990	5526
152	996	5516
153	1003	5510
154	1009	5503
155	1015	5492
156	1021	5487
157	1027	5475
158	1033	5464
159	1040	5460
160	1046	5451
161	1053	5448
162	1059	5441
163	1065	5432
164	1072	5429
165	1078	5419
166	1085	5412
167	1091	5405
168	1096	5393
169	1104	5390
170	1109	5378
171	1115	5370
172	1122	5366
173	1129	5361
174	1137	5363
175	1143	5354
176	1150	5349
177	1157	5343
178	1163	5336
179	1170	5332
180	1176	5324
181	1183	5320
182	1189	5311
183	1195	5301
184	1202	5298
185	1208	5290
186	1215	5283
187	1221	5277
188	1227	5266
189	1235	5265
190	1241	5256
191	1247	5251
192	1254	5243
193	1259	5233
194	1267	5233
195	1273	5225
196	1281	5223
197	1287	5216
198	1294	5208
199	1301	5206
200	1307	5198
201	1315	5195
202	1320	5186
203	1326	5176
204	1333	5172
205	1339	5161
206	1345	5154
207	1352	5149
208	1357	5138
209	1365	5137
210	1371	5128
211	1378	5123
212	1384	5116
213	1390	5106
214	1397	5103
215	1403	5093
216	1409	5084
217	1415	5077
218	1420	5067
219	1427	5060
220	1433	5054
221	1439	5044
222	1446	5041
223	1452	5031
224	1459	5025
225	1466	5021
226	1472	5012
227	1478	5006
228	1484	4998
229	1490	4990
230	1497	4984
231	1503	4976
232	1511	4975
233	1517	4967
234	1523	4959
235	1530	4954
236	1536	4945
237	1542	4937
238	1548	4930
239	1553	4919
240	1560	4914
241	1566	4907
242	1572	4899
243	1579	4894
244	1585	4885
245	1591	4878
246	1597	4870
247	1603	4860
248	1611	4859
249	1617	4852
250	1625	4849
251	1631	4842
252	1638	4837
253	1645	4832
254	1651	4824
255	1659	4822
256	1665	4813
257	1671	4808
258	1678	4802
259	1684	4793
260	1691	4789
261	1697	4781
262	1704	4775
263	1710	4769
264	1716	4759
265	1723	4754
266	1728	4746
267	1734	4736
268	1741	4731
269	1746	4723
270	1753	4716
271	1759	4710
272	1765	4700
273	1772	4696
274	1778	4687
275	1784	4680
276	1790	4673
277	1796	4665
278	1802	4659
279	1809	4651
280	1814	4642
281	1820	4635
282	1826	4627
283	1832	4619
284	1839	4614
285	1844	4605
286	1851	4598
287	1857	4591
288	1862	4582
289	1869	4577
290	1875	4569
291	1882	4564
292	1889	4558
293	1894	4550
294	1901	4544
295	1907	4537
296	1913	4528
297	1919	4522
298	1925	4515
299	1932	4509
300	1939	4503
301	1944	4495
302	1952	4490
303	1957	4482
304	1964	4477
305	1971	4471
306	1976	4462
307	1983	4457
308	1989	4449
309	1995	4441
310	2002	4436
311	2008	4428
312	2014	4421
313	2020	4415
314	2026	4406
315	2033	4401
316	2038	4392
317	2044	4385
318	2051	4379
319	2056	4370
320	2063	4365
321	2070	4359
322	2076	4351
323	2084	4349
324	2090	4342
325	2098	4338
326	2104	4331
327	2111	4326
328	2118	4320
329	2124	4312
330	2131	4307
331	2137	4299
332	2143	4293
333	2149	4287
334	2155	4278
335	2162	4273
336	2168	4265
337	2174	4258
338	2181	4253
339	2187	4245
340	2195	4242
341	2202	4237
342	2209	4232
343	2216	4225
344	2221	4218
345	2229	4214
346	2235	4207
347	2242	4201
348	2249	4195
349	2254	4187
350	2262	4183
351	2268	4176
352	2275	4170
353	2282	4165
354	2288	4158
355	2296	4154
356	2302	4147
357	2313	4148
358	2319	4142
359	2328	4139
360	2334	4132
361	2342	4127
362	2348	4121
363	2356	4116
364	2363	4111
365	2369	4103
366	2377	4100
367	2382	4092
368	2389	4086
369	2395	4079
370	2401	4071
371	2408	4065
372	2414	4057
373	2419	4050
374	2426	4044
375	2432	4036
376	2439	4030
377	2445	4024
378	2451	4017
379	2459	4012
380	2465	4005
381	2471	3998
382	2477	3991
383	2483	3983
384	2490	3977
385	2495	3970
386	2502	3963
387	2508	3956
388	2514	3949
389	2520	3942
390	2526	3935
391	2532	3927
392	2538	3921
393	2544	3913
394	2550	3906
395	2557	3900
396	2562	3892
397	2568	3885
398	2574	3878
399	2580	3870
400	2588	3866
401	2594	3859
402	2601	3853
403	2608	3847
404	2613	3839
405	2621	3835
406	2627	3828
407	2634	3822
408	2641	3816
409	2646	3808
410	2654	3804
411	2660	3797
412	2667	3791
413	2673	3784
414	2679	3777
415	2687	3773
416	2694	3766
417	2700	3760
418	2707	3754
419	2713	3747
420	2720	3741
421	2726	3733
422	2732	3727
423	2739	3722
424	2745	3714
425	2752	3708
426	2758	3701
427	2765	3695
428	2771	3689
429	2777	3681
430	2784	3676
431	2790	3668
432	2796	3662
433	2803	3655
434	2808	3648
435	2816	3643
436	2822	3636
437	2829	3630
438	2835	3624
439	2841	3616
440	2848	3610
441	2854	3603
442	2859	3595
443	2866	3589
444	2872	3581
445	2878	3575
446	2884	3568
447	2889	3560
448	2896	3554
449	2902	3547
450	2907	3539
451	2915	3534
452	2921	3527
453	2928	3521
454	2934	3515
455	2941	3508
456	2948	3503
457	2954	3496
458	2961	3490
459	2967	3483
460	2973	3476
461	2980	3470
462	2985	3463
463	2992	3456
464	2998	3450
465	3004	3442
466	3011	3436
467	3016	3429
468	3022	3421
469	3029	3415
470	3035	3408
471	3041	3402
472	3048	3395
473	3053	3388
